"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/01/2024","00:00-00:15","542.04","444.41","2850.38"
"01/01/2024","00:15-00:30","551.5","485.4","2733.12"
"01/01/2024","00:30-00:45","543.5","506.4","2840.08"
"01/01/2024","00:45-01:00","537.6","540.4","2830.47"
"01/01/2024","01:00-01:15","592.3","578.4","2489.74"
"01/01/2024","01:15-01:30","590.3","621.4","2489.53"
"01/01/2024","01:30-01:45","591.5","657.4","2489.21"
"01/01/2024","01:45-02:00","588.7","683.4","2489.01"
"01/01/2024","02:00-02:15","591.2","703.4","2380.77"
"01/01/2024","02:15-02:30","590.6","729.4","2339.84"
"01/01/2024","02:30-02:45","598.5","753.4","2339.65"
"01/01/2024","02:45-03:00","592.3","775.4","2339.53"
"01/01/2024","03:00-03:15","611.4","804.4","2350.84"
"01/01/2024","03:15-03:30","603.9","883.2","2449.6"
"01/01/2024","03:30-03:45","606.7","879.8","2449.6"
"01/01/2024","03:45-04:00","603.9","878.2","2449.57"
"01/01/2024","04:00-04:15","603.7","900.4","2449.87"
"01/01/2024","04:15-04:30","615.1","873.6","2449.99"
"01/01/2024","04:30-04:45","618.1","743.4","2440.89"
"01/01/2024","04:45-05:00","618","708.5","2449.18"
"01/01/2024","05:00-05:15","619.3","631.4","2950.17"
"01/01/2024","05:15-05:30","824.2","594.6","3000.4"
"01/01/2024","05:30-05:45","1228.5","1163.1","3087.13"
"01/01/2024","05:45-06:00","1633.2","1298.6","3150.42"
"01/01/2024","06:00-06:15","559.9","1786.6","3541.79"
"01/01/2024","06:15-06:30","561.41","1994.6","3600.16"
"01/01/2024","06:30-06:45","865.3","2199","3609.22"
"01/01/2024","06:45-07:00","1068","2584.58","3750.68"
"01/01/2024","07:00-07:15","550.09","1909.6","4000.65"
"01/01/2024","07:15-07:30","771.67","2798.1","9500.47"
"01/01/2024","07:30-07:45","836.25","2037.4","10000"
"01/01/2024","07:45-08:00","695.04","1212.8","10000"
"01/01/2024","08:00-08:15","474.09","1277.7","10000"
"01/01/2024","08:15-08:30","309.96","806.3","10000"
