,DELHI,BRPL,BYPL,NDPL,NDMC,MES,datetime,day,month,year,dayofweek,is_weekend
0,2144.41,860.87,428.55,691.4,117.82,25.93,2022-01-01 00:00:00,1.0,1.0,2022.0,5.0,1.0
1,1839.04,727.39,349.29,609.45,111.57,23.5,2022-01-01 01:00:00,1.0,1.0,2022.0,5.0,1.0
2,1682.7,669.86,316.2,573.91,84.25,22.44,2022-01-01 02:00:00,1.0,1.0,2022.0,5.0,1.0
3,1578.43,627.9,290.02,539.32,79.86,21.11,2022-01-01 03:00:00,1.0,1.0,2022.0,5.0,1.0
4,1584.39,644.04,289.28,542.23,71.18,22.41,2022-01-01 04:00:00,1.0,1.0,2022.0,5.0,1.0
5,1753.52,729.52,320.43,589.47,73.48,24.35,2022-01-01 05:00:00,1.0,1.0,2022.0,5.0,1.0
6,2200.73,915.56,424.79,715.59,90.34,30.11,2022-01-01 06:00:00,1.0,1.0,2022.0,5.0,1.0
7,2969.89,1228.29,627.87,926.01,122.7,37.89,2022-01-01 07:00:00,1.0,1.0,2022.0,5.0,1.0
8,3754.84,1570.12,819.5,1188.76,102.39,41.24,2022-01-01 08:00:00,1.0,1.0,2022.0,5.0,1.0
9,4015.01,1716.47,876.33,1229.77,111.64,41.94,2022-01-01 09:00:00,1.0,1.0,2022.0,5.0,1.0
10,4471.55,1916.57,971.64,1341.66,157.13,42.16,2022-01-01 10:00:00,1.0,1.0,2022.0,5.0,1.0
11,4424.5,1869.22,996.8,1358.43,114.99,39.25,2022-01-01 11:00:00,1.0,1.0,2022.0,5.0,1.0
12,4145.91,1763.55,956.3,1260.21,102.24,35.59,2022-01-01 12:00:00,1.0,1.0,2022.0,5.0,1.0
13,3716.08,1574.65,855.34,1086.99,137.53,32.91,2022-01-01 13:00:00,1.0,1.0,2022.0,5.0,1.0
14,3330.46,1402.43,767.15,1004.3,95.77,28.78,2022-01-01 14:00:00,1.0,1.0,2022.0,5.0,1.0
15,3114.81,1304.61,710.28,944.8,93.28,26.31,2022-01-01 15:00:00,1.0,1.0,2022.0,5.0,1.0
16,2979.3,1245.34,668.74,887.26,123.99,27.22,2022-01-01 16:00:00,1.0,1.0,2022.0,5.0,1.0
