DATE,TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
01-01-2022,00:00:00,2144.41,860.87,428.55,691.4,117.82,25.93
01-01-2022,01:00:00,1839.04,727.39,349.29,609.45,111.57,23.5
01-01-2022,02:00:00,1682.7,669.86,316.2,573.91,84.25,22.44
01-01-2022,03:00:00,1578.43,627.9,290.02,539.32,79.86,21.11
01-01-2022,04:00:00,1584.39,644.04,289.28,542.23,71.18,22.41
01-01-2022,05:00:00,1753.52,729.52,320.43,589.47,73.48,24.35
01-01-2022,06:00:00,2200.73,915.56,424.79,715.59,90.34,30.11
01-01-2022,07:00:00,2969.89,1228.29,627.87,926.01,122.7,37.89
01-01-2022,08:00:00,3754.84,1570.12,819.5,1188.76,102.39,41.24
01-01-2022,09:00:00,4015.01,1716.47,876.33,1229.77,111.64,41.94
01-01-2022,10:00:00,4471.55,1916.57,971.64,1341.66,157.13,42.16
01-01-2022,11:00:00,4424.5,1869.22,996.8,1358.43,114.99,39.25
01-01-2022,12:00:00,4145.91,1763.55,956.3,1260.21,102.24,35.59
01-01-2022,13:00:00,3716.08,1574.65,855.34,1086.99,137.53,32.91
01-01-2022,14:00:00,3330.46,1402.43,767.15,1004.3,95.77,28.78
01-01-2022,15:00:00,3114.81,1304.61,710.28,944.8,93.28,26.31
01-01-2022,16:00:00,2979.3,1245.34,668.74,887.26,123.99,27.22
01-01-2022,17:00:00,3016.75,1282.89,681.13,899.3,94.89,30.56
01-01-2022,18:00:00,3263.12,1404.68,751.4,945.25,101.21,36.4
01-01-2022,19:00:00,3211.84,1415.24,690.52,932.48,104.01,38.31
01-01-2022,20:00:00,3086.4,1366.86,652.25,898.06,101.47,38.92
01-01-2022,21:00:00,2924.71,1323.74,619.65,816.57,99.05,37.88
01-01-2022,22:00:00,2728.65,1215.48,581.52,775.18,93.2,33.68
01-01-2022,23:00:00,2333.91,1013.87,500.61,684.85,85.28,28.81
02-01-2022,00:00:00,1907.22,824.9,399.36,569.52,73.38,24.73
02-01-2022,01:00:00,1625.36,690.43,330.85,490.32,76.02,22.28
02-01-2022,02:00:00,1498.48,631.31,298.05,459.55,74.75,20.8
02-01-2022,03:00:00,1444.04,610.19,283.75,442.45,73.51,20.63
03-01-2022,00:00:00,1900.62,769.22,386.95,608.97,92.98,24.47
03-01-2022,01:00:00,1633.94,647.09,324.3,536,88.2,22.91
03-01-2022,02:00:00,1525.86,598.76,295.1,510.07,85.35,22.07
03-01-2022,03:00:00,1468.62,577.09,282.22,488.44,84.12,21.81
03-01-2022,04:00:00,1475.11,593.73,275.56,484.4,84.69,22.57
03-01-2022,05:00:00,1645.12,668.77,311.19,537.3,86.77,25.45
03-01-2022,06:00:00,2113.19,872.66,423.8,670.23,95.21,33.31
03-01-2022,07:00:00,2927.96,1236.73,602.86,914.29,103.2,43.12
03-01-2022,08:00:00,3852.25,1615.85,835.31,1196.17,122.73,49.04
03-01-2022,09:00:00,4247.88,1713.74,957.81,1344.59,146.39,46.13
03-01-2022,10:00:00,4465.11,1850.99,943.22,1427.8,154.08,45.27
03-01-2022,11:00:00,4422.79,1782.15,924.89,1472.95,156.18,42
03-01-2022,12:00:00,4127.76,1614.43,884.6,1400.51,152.49,39.38
03-01-2022,13:00:00,3749,1477.36,810.84,1241.52,153.47,36.33
03-01-2022,14:00:00,3451.04,1331.3,743.08,1162.09,145.1,32.77
03-01-2022,15:00:00,3284.72,1259.64,687.93,1130.54,143.61,31.85
03-01-2022,16:00:00,3217.99,1254.96,649.43,1113.28,141.34,32.5
03-01-2022,17:00:00,3271.44,1311.32,660.05,1099.33,137.39,34.18
03-01-2022,18:00:00,3644.01,1473.95,769.15,1219.2,138.73,29.03
03-01-2022,19:00:00,3608.46,1460.25,740.43,1203.26,133.26,41.23
03-01-2022,20:00:00,3321.35,1395.77,657.19,1072.37,123.35,41.05
