datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),total_precipitation (mm of water equivalent)
2022-01-01 00:00:00,"(28.557124, 77.083366)",6.51,0.90,0.00
2022-01-01 01:00:00,"(28.557124, 77.083366)",6.40,0.91,0.00
2022-01-01 02:00:00,"(28.557124, 77.083366)",6.64,0.90,0.00
2022-01-01 03:00:00,"(28.557124, 77.083366)",7.03,0.87,0.00
2022-01-01 04:00:00,"(28.557124, 77.083366)",8.47,0.84,0.00
2022-01-01 05:00:00,"(28.557124, 77.083366)",14.25,0.70,0.00
2022-01-01 06:00:00,"(28.557124, 77.083366)",16.11,0.63,0.00
2022-01-01 07:00:00,"(28.557124, 77.083366)",16.69,0.61,0.00
2022-01-01 08:00:00,"(28.557124, 77.083366)",19.21,0.52,0.00
2022-01-01 09:00:00,"(28.557124, 77.083366)",19.80,0.49,0.00
2022-01-01 10:00:00,"(28.557124, 77.083366)",17.65,0.59,0.00
2022-01-01 11:00:00,"(28.557124, 77.083366)",17.53,0.59,0.00
2022-01-01 12:00:00,"(28.557124, 77.083366)",17.97,0.59,0.00
2022-01-01 13:00:00,"(28.557124, 77.083366)",17.47,0.62,0.00
2022-01-01 14:00:00,"(28.557124, 77.083366)",14.78,0.73,0.00
2022-01-01 15:00:00,"(28.557124, 77.083366)",12.02,0.81,0.00
2022-01-01 16:00:00,"(28.557124, 77.083366)",11.73,0.83,0.00
2022-01-01 17:00:00,"(28.557124, 77.083366)",10.30,0.88,0.00
2022-01-01 18:00:00,"(28.557124, 77.083366)",10.01,0.88,0.00
2022-01-01 19:00:00,"(28.557124, 77.083366)",9.61,0.90,0.00
2022-01-01 20:00:00,"(28.557124, 77.083366)",8.82,0.93,0.00
2022-01-01 21:00:00,"(28.557124, 77.083366)",8.50,0.93,0.00
2022-01-01 22:00:00,"(28.557124, 77.083366)",8.08,0.94,0.00
2022-01-01 23:00:00,"(28.557124, 77.083366)",7.61,0.95,0.00
2022-01-02 00:00:00,"(28.557124, 77.083366)",7.46,0.95,0.00
2022-01-02 01:00:00,"(28.557124, 77.083366)",7.48,0.95,0.00
2022-01-02 02:00:00,"(28.557124, 77.083366)",7.56,0.94,0.00
2022-01-02 03:00:00,"(28.557124, 77.083366)",7.92,0.93,0.00
2022-01-02 04:00:00,"(28.557124, 77.083366)",9.09,0.93,0.00
2022-01-02 05:00:00,"(28.557124, 77.083366)",14.37,0.72,0.00
2022-01-02 06:00:00,"(28.557124, 77.083366)",16.79,0.62,0.00
2022-01-02 07:00:00,"(28.557124, 77.083366)",17.45,0.59,0.00
2022-01-02 08:00:00,"(28.557124, 77.083366)",20.07,0.48,0.00
2022-01-02 09:00:00,"(28.557124, 77.083366)",20.49,0.46,0.00
2022-01-02 10:00:00,"(28.557124, 77.083366)",18.20,0.56,0.00
2022-01-02 11:00:00,"(28.557124, 77.083366)",18.11,0.56,0.00
2022-01-02 12:00:00,"(28.557124, 77.083366)",16.99,0.64,0.00
2022-01-02 13:00:00,"(28.557124, 77.083366)",16.43,0.67,0.00
2022-01-02 14:00:00,"(28.557124, 77.083366)",14.21,0.77,0.00
2022-01-02 15:00:00,"(28.557124, 77.083366)",12.15,0.81,0.00
2022-01-02 16:00:00,"(28.557124, 77.083366)",11.85,0.82,0.00
2022-01-02 17:00:00,"(28.557124, 77.083366)",10.34,0.87,0.00
2022-01-02 18:00:00,"(28.557124, 77.083366)",9.73,0.89,0.00
2022-01-02 19:00:00,"(28.557124, 77.083366)",9.29,0.91,0.00
2022-01-02 20:00:00,"(28.557124, 77.083366)",8.34,0.93,0.00
2022-01-02 21:00:00,"(28.557124, 77.083366)",7.96,0.94,0.00
2022-01-02 22:00:00,"(28.557124, 77.083366)",7.61,0.96,0.00
2022-01-02 23:00:00,"(28.557124, 77.083366)",7.26,0.97,0.00
2022-01-03 00:00:00,"(28.557124, 77.083366)",6.91,0.96,0.00
2022-01-03 01:00:00,"(28.557124, 77.083366)",7.17,0.95,0.00
2022-01-03 02:00:00,"(28.557124, 77.083366)",7.32,0.94,0.00
2022-01-03 03:00:00,"(28.557124, 77.083366)",7.55,0.94,0.00
2022-01-03 04:00:00,"(28.557124, 77.083366)",9.22,0.89,0.00
2022-01-03 05:00:00,"(28.557124, 77.083366)",16.08,0.69,0.00
2022-01-03 06:00:00,"(28.557124, 77.083366)",17.98,0.56,0.00
2022-01-03 07:00:00,"(28.557124, 77.083366)",18.53,0.53,0.00
2022-01-03 08:00:00,"(28.557124, 77.083366)",21.06,0.45,0.00
2022-01-03 09:00:00,"(28.557124, 77.083366)",21.44,0.44,0.00
2022-01-03 10:00:00,"(28.557124, 77.083366)",19.42,0.56,0.00
2022-01-03 11:00:00,"(28.557124, 77.083366)",19.25,0.57,0.00
2022-01-03 12:00:00,"(28.557124, 77.083366)",18.00,0.66,0.00
2022-01-03 13:00:00,"(28.557124, 77.083366)",17.50,0.69,0.00
2022-01-03 14:00:00,"(28.557124, 77.083366)",15.89,0.74,0.00
2022-01-03 15:00:00,"(28.557124, 77.083366)",14.01,0.79,0.00
2022-01-03 16:00:00,"(28.557124, 77.083366)",13.89,0.80,0.00
2022-01-03 17:00:00,"(28.557124, 77.083366)",13.17,0.83,0.00
2022-01-03 18:00:00,"(28.557124, 77.083366)",12.66,0.84,0.00
2022-01-03 19:00:00,"(28.557124, 77.083366)",12.40,0.85,0.00
2022-01-03 20:00:00,"(28.557124, 77.083366)",11.72,0.88,0.00
2022-01-03 21:00:00,"(28.557124, 77.083366)",11.55,0.88,0.00
2022-01-03 22:00:00,"(28.557124, 77.083366)",10.57,0.90,0.00
2022-01-03 23:00:00,"(28.557124, 77.083366)",10.15,0.91,0.00
2022-01-04 00:00:00,"(28.557124, 77.083366)",10.53,0.89,0.00
2022-01-04 01:00:00,"(28.557124, 77.083366)",10.66,0.90,0.00
2022-01-04 02:00:00,"(28.557124, 77.083366)",10.79,0.90,0.00
2022-01-04 03:00:00,"(28.557124, 77.083366)",11.04,0.90,0.00
2022-01-04 04:00:00,"(28.557124, 77.083366)",12.29,0.85,0.00
2022-01-04 05:00:00,"(28.557124, 77.083366)",16.48,0.69,0.00
2022-01-04 06:00:00,"(28.557124, 77.083366)",19.37,0.57,0.00
2022-01-04 07:00:00,"(28.557124, 77.083366)",20.11,0.52,0.00
2022-01-04 08:00:00,"(28.557124, 77.083366)",22.14,0.44,0.00
2022-01-04 09:00:00,"(28.557124, 77.083366)",22.56,0.43,0.00
2022-01-04 10:00:00,"(28.557124, 77.083366)",20.61,0.53,0.00
2022-01-04 11:00:00,"(28.557124, 77.083366)",20.16,0.56,0.00
2022-01-04 12:00:00,"(28.557124, 77.083366)",18.61,0.67,0.00
2022-01-04 13:00:00,"(28.557124, 77.083366)",18.23,0.69,0.00
2022-01-04 14:00:00,"(28.557124, 77.083366)",16.88,0.76,0.00
2022-01-04 15:00:00,"(28.557124, 77.083366)",14.81,0.85,0.00
2022-01-04 16:00:00,"(28.557124, 77.083366)",15.02,0.84,0.00
2022-01-04 17:00:00,"(28.557124, 77.083366)",14.87,0.83,0.00
2022-01-04 18:00:00,"(28.557124, 77.083366)",14.64,0.84,0.00
2022-01-04 19:00:00,"(28.557124, 77.083366)",14.96,0.84,0.00
2022-01-04 20:00:00,"(28.557124, 77.083366)",14.10,0.85,0.00
2022-01-04 21:00:00,"(28.557124, 77.083366)",13.72,0.85,0.00
2022-01-04 22:00:00,"(28.557124, 77.083366)",12.46,0.91,0.00
2022-01-04 23:00:00,"(28.557124, 77.083366)",12.64,0.90,0.00
2022-01-05 00:00:00,"(28.557124, 77.083366)",13.17,0.91,0.00
2022-01-05 01:00:00,"(28.557124, 77.083366)",13.56,0.87,0.01
2022-01-05 02:00:00,"(28.557124, 77.083366)",13.87,0.88,0.39
2022-01-05 03:00:00,"(28.557124, 77.083366)",13.77,0.90,0.19
2022-01-05 04:00:00,"(28.557124, 77.083366)",13.49,0.93,0.27
2022-01-05 05:00:00,"(28.557124, 77.083366)",14.14,0.94,0.43
2022-01-05 06:00:00,"(28.557124, 77.083366)",14.58,0.94,0.55
2022-01-05 07:00:00,"(28.557124, 77.083366)",14.97,0.91,0.88
2022-01-05 08:00:00,"(28.557124, 77.083366)",14.57,0.94,0.43
2022-01-05 09:00:00,"(28.557124, 77.083366)",14.52,0.94,0.49
2022-01-05 10:00:00,"(28.557124, 77.083366)",13.44,0.94,0.79
2022-01-05 11:00:00,"(28.557124, 77.083366)",13.52,0.93,1.09
2022-01-05 12:00:00,"(28.557124, 77.083366)",13.72,0.92,1.64
2022-01-05 13:00:00,"(28.557124, 77.083366)",13.67,0.93,1.24
2022-01-05 14:00:00,"(28.557124, 77.083366)",13.74,0.93,1.44
2022-01-05 15:00:00,"(28.557124, 77.083366)",13.56,0.94,2.13
2022-01-05 16:00:00,"(28.557124, 77.083366)",13.70,0.93,2.76
2022-01-05 17:00:00,"(28.557124, 77.083366)",13.49,0.95,2.83
2022-01-05 18:00:00,"(28.557124, 77.083366)",13.49,0.95,1.85
2022-01-05 19:00:00,"(28.557124, 77.083366)",13.35,0.95,0.32
2022-01-05 20:00:00,"(28.557124, 77.083366)",13.13,0.95,0.56
2022-01-05 21:00:00,"(28.557124, 77.083366)",13.06,0.94,0.47
2022-01-05 22:00:00,"(28.557124, 77.083366)",12.85,0.96,0.29
2022-01-05 23:00:00,"(28.557124, 77.083366)",12.95,0.97,0.19
2022-01-06 00:00:00,"(28.557124, 77.083366)",13.42,0.96,0.03
